Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
29,1,0.4097,1,1,1,1,1,1,0.4498,0.4097,0,1,0.3183,1,1,1,1,1,1,0.163,0.3183,0,1,0.648,1,1,0.2414,0.648,0,1,1,1,1,1,0.305953681,0,1,0.417532624
30,1,0.4096,1,1,1,1,1,1,0.2783,0.4096,0,1,0.3183,1,1,1,1,1,1,0.2013,0.3183,0,1,0.6481,1,1,0.2083,0.6481,0,1,1,1,1,1,0.192249268,0,1,0.449975834
31,1,0.4095,1,1,1,1,1,1,0.1689,0.4095,0,1,0.3183,1,1,1,1,1,1,0.0845,0.3183,0,1,0.6482,1,1,0.2312,0.6482,0,1,1,1,1,1,0.149604544,0,0.995912135,0.47661914
32,1,0.4093,1,1,1,1,1,1,0.1614,0.4093,0.16,1,0.3183,1,1,1,1,1,1,0.16,0.3183,0.1615,1,0.6483,1,1,0.2862,0.6483,0.0553,1,1,1,1,1,0.180308625,0.267868817,0.993907154,0.50918318
33,1,0.4092,1,1,1,1,1,1,0.3342,0.4092,0.3418,1,0.3183,1,1,1,1,1,1,0.384,0.3183,0.4263,1,0.6484,1,1,0.3787,0.6484,0.2643,1,1,1,1,1,0.256795734,0.513893187,1,0.542653456
34,1,0.4091,1,1,1,1,1,1,0.4243,0.4091,0.4952,1,0.3183,1,1,1,1,1,1,0.8484,0.3183,0.57,1,0.6485,1,1,0.447,0.6485,0.3818,1,1,1,1,1,0.383252978,0.735028386,1,0.567182214
35,1,0.4089,1,1,1,1,1,1,0.5246,0.4089,0.5654,1,0.3183,1,1,1,1,1,1,0.5963,0.3183,0.6482,1,0.6486,1,1,0.3888,0.6486,0.4467,1,1,1,1,1,0.555624604,0.808727384,1,0.577211213
36,1,0.4088,1,1,1,1,1,1,0.5181,0.4088,0.5713,1,0.3183,1,1,1,1,1,1,0.7561,0.3183,0.6314,1,0.6487,1,1,0.416,0.6487,0.4562,1,1,1,1,1,0.684506655,0.772403061,1,0.576304978
37,1,0.4087,1,1,1,1,1,1,0.5327,0.4087,0.5414,1,0.3183,1,1,1,1,1,1,0.6341,0.3183,0.5409,1,0.6488,1,1,0.3332,0.6488,0.4705,1,1,1,1,1,0.744437516,0.757805645,1,0.572559207
38,1,0.4085,1,1,1,1,1,1,0.5546,0.4085,0.4677,1,0.3183,1,1,1,1,1,1,0.6438,0.3183,0.4277,1,0.6489,1,1,0.3748,0.6489,0.3819,1,1,1,1,1,0.774056852,0.653667092,1,0.570746738
39,1,0.4084,1,1,1,1,1,1,0.4497,0.4084,0.3193,1,0.3182,1,1,1,1,1,1,0.4929,0.3182,0.3402,1,0.649,1,1,0.4559,0.649,0.2288,1,1,1,1,1,0.625833631,0.466638684,0.948113322,0.579446593
